Time stamp,Temp C,Conductivity ,Vertical Position ,pH,ORP mV,Turbidity NTU,Chl ug/L,Phycocyanin ,ODO & sat,ODO mg/L
4/8/26 0:07,4.748,206.69,47.539,7.84,192.11,5.45,-0.12,0.43,69.74,8.95
4/8/26 0:08,4.748,206.47,46.459,7.85,155.23,3.24,-0.16,0.4,69.56,8.93
4/8/26 0:10,4.747,206.26,45.456,7.86,169.26,2.62,-0.18,0.39,69.66,8.95
4/8/26 0:12,4.746,206.02,44.491,7.87,176.22,2.41,-0.15,0.39,69.84,8.97
4/8/26 0:13,4.737,205.71,43.452,7.88,180.28,2.27,-0.07,0.39,70.53,9.06
4/8/26 0:15,4.732,205.22,42.473,7.9,181.49,2.2,-0.17,0.4,72.04,9.26
4/8/26 0:17,4.758,205.15,41.488,7.91,182.96,2.25,-0.15,0.4,72.46,9.3
4/8/26 0:19,4.773,205.16,40.503,7.92,184.01,2.09,-0.22,0.4,72.32,9.28
4/8/26 0:20,4.778,205.15,39.506,7.92,184.79,1.99,-0.22,0.42,72.96,9.36
4/8/26 0:22,4.778,205.09,38.486,7.93,185.55,2.04,-0.15,0.4,72.94,9.36
4/8/26 0:24,4.825,205.42,37.493,7.92,186.12,1.97,-0.12,0.4,72.38,9.28
4/8/26 0:25,4.86,205.6,36.5,7.92,186.64,2.01,-0.25,0.4,72.88,9.33
4/8/26 0:27,4.88,205.62,35.485,7.92,186.98,2.18,-0.17,0.4,72.65,9.3
4/8/26 0:29,4.893,205.82,34.484,7.91,187.62,2.01,-0.1,0.39,72.51,9.28
4/8/26 0:30,4.934,206,33.474,7.91,187.94,2.09,-0.26,0.42,72.44,9.26
4/8/26 0:32,4.943,205.52,32.424,7.95,187.55,2.1,-0.1,0.39,74.44,9.51
4/8/26 0:34,4.979,205.85,31.461,7.95,188.12,1.91,-0.16,0.41,74.48,9.51
4/8/26 0:35,5.003,205.84,30.475,7.96,188.4,1.97,-0.17,0.41,74.52,9.51
4/8/26 0:37,5.065,206.08,29.487,7.97,188.57,1.88,-0.06,0.38,75.14,9.57
4/8/26 0:39,5.155,206.47,28.448,7.98,188.77,1.84,-0.18,0.39,75.58,9.6
4/8/26 0:40,5.269,206.9,27.415,7.99,188.83,1.9,-0.16,0.4,76.29,9.67
4/8/26 0:42,5.635,208.73,26.438,7.99,189.09,1.91,-0.13,0.4,76.21,9.57
4/8/26 0:44,6.295,211.17,25.444,7.97,189.46,1.95,-0.22,0.38,75.63,9.34
4/8/26 0:45,6.707,210.87,24.452,7.96,189.81,1.97,0.06,0.38,75.07,9.17
4/8/26 0:47,7.003,209.7,23.441,7.95,190.07,1.93,-0.02,0.36,74.97,9.09
4/8/26 0:49,7.22,208.7,22.428,7.95,190.26,1.92,0.02,0.36,75.15,9.06
4/8/26 0:50,7.431,210.12,21.443,7.96,190.24,2.05,0.1,0.38,75.29,9.03
4/8/26 0:52,7.521,209.24,20.428,7.96,190.26,2.14,-0.02,0.35,75.24,9.01
4/8/26 0:53,7.721,213.39,19.45,8.01,189.96,2.08,0.02,0.35,76.28,9.09
4/8/26 0:55,7.878,216.77,18.413,8.04,189.91,2.16,-0.04,0.35,77.09,9.15
4/8/26 0:57,7.938,215.24,17.433,8.04,190.18,2.11,0.05,0.35,76.96,9.12
4/8/26 0:58,8.103,219.99,16.417,8.09,189.89,2.2,0.35,0.33,78.33,9.25
4/8/26 1:00,8.247,220.73,15.421,8.11,189.95,2.11,-0.08,0.32,78.88,9.28
4/8/26 1:02,8.374,221.09,14.414,8.12,190.18,2.13,0.06,0.33,79.17,9.28
4/8/26 1:03,8.456,220.55,13.431,8.11,190.48,2.21,0.09,0.34,79.02,9.25
4/8/26 1:05,8.56,219.74,12.492,8.11,190.7,2.06,0.06,0.35,78.85,9.2
4/8/26 1:07,8.655,219.03,11.393,8.1,190.96,1.96,0.06,0.34,78.86,9.18
4/8/26 1:08,9.443,220.1,10.404,8.16,189.75,1.81,0.6,0.35,80.46,9.2
4/8/26 1:10,9.557,221.24,9.469,8.18,189.84,1.78,0.53,0.33,80.81,9.21
4/8/26 1:11,9.595,221.6,8.432,8.19,190.05,1.75,0.81,0.34,81,9.22
4/8/26 1:13,9.691,222.77,7.493,8.19,190.17,1.83,0.65,0.33,81.25,9.23
4/8/26 1:15,9.703,222.77,6.394,8.2,190.33,1.82,0.6,0.31,81.32,9.23
4/8/26 1:16,9.742,223.6,5.381,8.2,190.46,1.8,0.72,0.34,81.58,9.26
4/8/26 1:18,9.796,223.9,4.413,8.2,190.8,1.77,0.56,0.32,81.73,9.26
4/8/26 1:20,9.799,223.93,3.474,8.2,190.92,1.76,0.67,0.31,81.8,9.27
4/8/26 1:21,9.873,224.4,2.465,8.2,190.96,1.76,0.45,0.32,81.94,9.27
4/8/26 1:23,9.868,224.23,1.463,8.2,191.13,1.77,0.64,0.32,81.99,9.28
4/8/26 1:24,9.861,223.88,0.934,8.2,191.25,1.8,0.65,0.31,82,9.28
4/8/26 6:07,4.77,207.32,47.509,7.75,120.6,75.65,2.64,0.87,67.08,8.61
4/8/26 6:09,4.767,206.62,46.488,7.83,99.98,4.3,-0.07,0.42,68.37,8.78
4/8/26 6:10,4.765,206.06,45.532,7.85,103.67,9.2,-0.06,0.43,69.8,8.96
4/8/26 6:12,4.769,205.82,44.55,7.87,116.8,2.66,-0.14,0.4,70.69,9.07
4/8/26 6:14,4.763,205.36,43.542,7.9,124.36,2.73,-0.12,0.4,72.06,9.25
4/8/26 6:16,4.796,205.71,42.482,7.89,124.93,2.79,-0.18,0.4,71.12,9.12
4/8/26 6:17,4.805,205.74,41.457,7.88,121.67,2.51,-0.21,0.41,71.23,9.13
4/8/26 6:19,4.831,205.77,40.512,7.89,126.53,2.09,-0.15,0.4,71.49,9.16
4/8/26 6:21,4.84,205.74,39.474,7.89,130.96,2.12,-0.19,0.41,71.33,9.14
4/8/26 6:22,4.829,205.4,38.473,7.91,133.89,2.03,-0.22,0.41,72.72,9.32
4/8/26 6:24,4.858,205.56,37.465,7.91,135.64,2.11,-0.16,0.41,72.84,9.33
4/8/26 6:26,4.898,205.78,36.496,7.91,138.08,2.08,-0.11,0.4,72.59,9.29
4/8/26 6:27,4.914,205.7,35.492,7.92,140.13,1.96,-0.12,0.39,73.26,9.37
4/8/26 6:29,4.944,205.83,34.457,7.93,142.09,2.1,-0.09,0.42,73.44,9.38
4/8/26 6:31,5.014,206.07,33.511,7.94,143.62,2.01,-0.15,0.38,74.1,9.45
4/8/26 6:33,5.048,206.08,32.484,7.95,144.81,1.85,-0.11,0.42,74.84,9.54
4/8/26 6:34,5.105,206.25,31.444,7.97,145.99,1.93,-0.17,0.4,75.4,9.59
4/8/26 6:36,5.188,206.55,30.5,7.98,146.99,1.85,-0.13,0.38,76.16,9.67
4/8/26 6:38,5.482,208.07,29.433,7.98,148.22,1.9,-0.2,0.41,76.05,9.58
4/8/26 6:39,5.736,209.29,28.471,7.98,149.34,1.86,-0.16,0.4,76.15,9.53
4/8/26 6:41,5.975,210.25,27.461,7.98,150.29,1.86,-0.17,0.37,75.74,9.43
4/8/26 6:43,6.219,211.17,26.469,7.97,151.46,1.86,-0.01,0.38,75.75,9.37
4/8/26 6:44,6.437,210.59,25.481,7.95,152.75,1.93,-0.04,0.36,74.67,9.18
4/8/26 6:46,6.652,210.73,24.498,7.94,153.61,1.94,-0.03,0.38,74.59,9.12
4/8/26 6:48,6.808,210.57,23.494,7.95,154.42,1.95,-0.06,0.34,74.94,9.13
4/8/26 6:49,7.076,210.64,22.464,7.95,155.32,2.08,0.01,0.35,74.85,9.06
4/8/26 6:51,7.194,211.06,21.44,7.95,156.17,2.08,-0.03,0.37,74.92,9.04
4/8/26 6:53,7.328,209.74,20.453,7.95,156.96,2.05,0.04,0.36,75.17,9.04
4/8/26 6:54,7.511,210.46,19.463,7.96,157.7,1.98,0.02,0.36,75.34,9.02
4/8/26 6:56,7.719,212.65,18.438,8,158.16,2.07,-0.1,0.36,76.29,9.09
4/8/26 6:58,7.85,213.21,17.436,8,158.95,2.02,-0.02,0.35,76.38,9.07
4/8/26 6:59,8.027,216.72,16.433,8.03,159.39,2.09,0.12,0.37,77.32,9.14
4/8/26 7:01,8.185,216.81,15.437,8.05,160,2.04,0.06,0.33,77.56,9.14
4/8/26 7:03,8.25,218.72,14.466,8.07,160.47,2,0.05,0.35,78.23,9.2
4/8/26 7:04,8.554,221.82,13.423,8.12,160.77,1.96,0.11,0.33,79.39,9.27
4/8/26 7:06,8.779,220.76,12.425,8.11,161.37,1.97,0.01,0.33,79.34,9.21
4/8/26 7:08,9.422,221.82,11.406,8.16,161.19,1.76,0.52,0.33,80.44,9.2
4/8/26 7:09,9.489,221.91,10.421,8.17,161.9,1.78,0.62,0.31,80.6,9.2
4/8/26 7:11,9.558,222.17,9.513,8.18,162.61,1.73,0.68,0.32,80.76,9.2
4/8/26 7:12,9.561,222.17,8.469,8.18,163.32,1.78,0.62,0.32,80.83,9.21
4/8/26 7:14,9.554,222.13,7.429,8.18,163.97,1.82,0.59,0.33,80.89,9.22
4/8/26 7:16,9.552,222.13,6.446,8.18,164.59,1.81,0.62,0.31,80.96,9.23
4/8/26 7:17,9.551,222.11,5.412,8.18,165.18,1.83,0.56,0.34,81,9.23
4/8/26 7:19,9.537,222,4.444,8.18,165.89,1.78,0.5,0.31,81.07,9.24
4/8/26 7:21,9.533,221.98,3.41,8.19,166.49,1.82,0.6,0.31,81.12,9.25
4/8/26 7:22,9.536,222,2.47,8.18,167.21,1.8,0.62,0.33,81.19,9.26
4/8/26 7:24,9.533,221.95,1.383,8.19,167.62,1.78,0.54,0.33,81.26,9.27
4/8/26 7:25,9.539,221.94,0.95,8.19,168.05,1.74,0.65,0.33,81.3,9.27
4/8/26 12:06,4.758,206.91,47.543,7.87,208.49,2.85,-0.08,0.41,69.29,8.9
4/8/26 12:08,4.746,206.11,46.459,7.87,207.63,2.28,-0.17,0.38,70.03,8.99
4/8/26 12:09,4.704,204.83,45.455,7.93,206.3,2.06,-0.26,0.39,73.01,9.39
4/8/26 12:11,4.707,204.6,44.497,7.95,206.17,2.03,-0.26,0.42,74.25,9.55
4/8/26 12:13,4.734,204.56,43.48,7.96,205.99,1.99,-0.19,0.38,75.02,9.64
4/8/26 12:14,4.743,204.55,42.478,7.97,205.93,1.97,-0.19,0.39,74.8,9.61
4/8/26 12:16,4.769,204.76,41.497,7.96,206.31,1.95,-0.13,0.4,74.59,9.57
4/8/26 12:17,4.797,204.92,40.401,7.95,206.71,1.85,-0.09,0.41,74.69,9.58
4/8/26 12:19,4.809,205.03,39.435,7.95,206.98,2.03,-0.15,0.4,74.1,9.5
4/8/26 12:21,4.818,205.07,38.477,7.95,207.13,2.27,-0.1,0.4,74.3,9.52
4/8/26 12:22,4.853,205.2,37.487,7.95,207.26,1.85,-0.17,0.39,74.64,9.56
4/8/26 12:24,4.881,205.48,36.425,7.94,207.51,1.89,-0.17,0.41,74.2,9.5
4/8/26 12:26,4.942,205.8,35.408,7.94,207.77,1.86,-0.18,0.4,74.06,9.46
4/8/26 12:27,4.993,206.28,34.436,7.92,208.2,1.96,-0.16,0.4,72.93,9.31
4/8/26 12:29,5.079,206.46,33.468,7.93,207.94,1.95,-0.18,0.42,73.52,9.36
4/8/26 12:31,5.149,206.68,32.389,7.95,207.68,1.99,-0.14,0.39,74.57,9.48
4/8/26 12:32,5.237,206.82,31.491,7.98,207.18,1.97,-0.18,0.4,75.74,9.6
4/8/26 12:34,5.49,208.12,30.43,7.98,207.27,1.95,-0.14,0.42,76.36,9.62
4/8/26 12:36,5.791,209.44,29.412,7.97,207.58,1.97,-0.05,0.38,75.48,9.44
4/8/26 12:37,5.963,209.72,28.413,7.95,208.18,1.85,-0.09,0.37,74.95,9.33
4/8/26 12:39,6.065,209.89,27.406,7.94,208.25,1.86,-0.14,0.37,74.26,9.22
4/8/26 12:40,6.259,210.33,26.432,7.93,208.38,1.93,-0.12,0.39,73.97,9.14
4/8/26 12:42,6.48,210.64,25.459,7.93,208.29,1.97,0.05,0.37,74.23,9.12
4/8/26 12:44,6.666,211.26,24.399,7.93,208.5,2.11,-0.05,0.36,73.79,9.02
4/8/26 12:45,6.77,211.69,23.505,7.93,208.37,2.06,0.02,0.39,73.97,9.02
4/8/26 12:47,7.057,212.92,22.395,7.95,208.15,2.18,-0.08,0.35,74.54,9.03
4/8/26 12:48,7.092,213.01,21.424,7.95,208.32,2.09,-0.18,0.36,74.7,9.04
4/8/26 12:50,7.243,214.01,20.363,7.97,208.21,2.25,-0.02,0.35,75.11,9.05
4/8/26 12:52,7.338,214.49,19.449,7.98,208.16,2.19,0.04,0.38,75.55,9.09
4/8/26 12:53,7.398,215.08,18.438,7.99,208.22,2.19,-0.01,0.35,75.73,9.09
4/8/26 12:55,7.492,214.52,17.466,7.99,208.32,2.22,-0.03,0.36,75.95,9.1
4/8/26 12:56,7.613,213.48,16.466,7.99,208.35,2.07,0.03,0.37,76.15,9.1
4/8/26 12:58,7.721,215.28,15.441,8,208.4,2.15,0.03,0.34,76.62,9.13
4/8/26 13:00,7.813,216.54,14.399,8.02,208.33,2.07,-0.01,0.36,77.11,9.17
4/8/26 13:01,7.893,216.03,13.46,8.02,208.37,2.01,0.09,0.38,77.02,9.14
4/8/26 13:03,8.077,217.5,12.378,8.04,208.32,2.08,-0.05,0.33,77.71,9.18
4/8/26 13:04,8.176,216.37,11.4,8.03,208.35,2.14,0.02,0.33,77.63,9.15
4/8/26 13:06,8.746,220.82,10.381,8.1,207.51,1.93,0.09,0.33,79.44,9.23
4/8/26 13:07,9.331,221.42,9.423,8.14,206.58,1.8,0.17,0.32,80.33,9.2
4/8/26 13:09,9.489,221.88,8.422,8.17,206.17,1.79,0.45,0.32,80.79,9.22
4/8/26 13:11,9.529,221.99,7.401,8.18,206.27,1.74,0.64,0.32,81.01,9.24
4/8/26 13:12,9.556,222.02,6.42,8.17,206.64,1.78,0.7,0.3,81.07,9.24
4/8/26 13:14,9.6,222.28,5.408,8.19,206.18,1.85,0.68,0.35,81.44,9.27
4/8/26 13:15,9.619,222.35,4.353,8.18,206.31,1.79,0.96,0.34,81.52,9.28
4/8/26 13:17,9.673,222.63,3.422,8.18,206.42,1.77,0.86,0.3,81.75,9.29
4/8/26 13:18,9.741,223.05,2.389,8.19,206.32,1.77,0.68,0.33,82.08,9.31
4/8/26 13:20,9.861,223.91,1.367,8.18,206.67,1.68,0.37,0.31,82.4,9.32
4/8/26 13:21,10.081,224.87,0.85,8.19,206.08,1.72,0.31,0.29,82.45,9.28
4/8/26 18:06,4.777,282.01,47.463,7.46,-5.04,51.65,11.92,2.75,69.06,8.86
4/8/26 18:08,4.749,206.99,46.342,7.78,18.51,11.53,-0.09,0.46,70.2,9.01
4/8/26 18:10,4.72,206.31,45.405,7.85,28.92,5.61,-0.16,0.44,72.14,9.27
4/8/26 18:11,4.707,204.8,44.456,7.89,41.68,5.9,-0.24,0.45,73.69,9.47
4/8/26 18:13,4.719,204.93,43.417,7.91,57.41,5.65,-0.13,0.44,74.31,9.55
4/8/26 18:15,4.737,204.91,42.423,7.92,20.02,3.69,-0.17,0.45,74.19,9.53
4/8/26 18:16,4.767,205.1,41.376,7.92,25.64,5.38,-0.13,0.43,74.32,9.54
4/8/26 18:18,4.781,204.9,40.392,7.93,51.66,3.25,-0.24,0.44,74.9,9.61
4/8/26 18:20,4.834,204.97,39.397,7.93,30.19,3,-0.13,0.42,74.64,9.56
4/8/26 18:21,4.87,205.17,38.398,7.95,57.67,3.59,-0.25,0.42,75.19,9.62
4/8/26 18:23,4.903,205.36,37.398,7.95,34.11,2.52,-0.12,0.41,75.79,9.69
4/8/26 18:25,4.932,205.61,36.364,7.95,37.92,2.43,-0.19,0.42,75.17,9.61
4/8/26 18:26,4.969,206.02,35.392,7.92,38.95,4.21,-0.17,0.41,74.19,9.47
4/8/26 18:28,5.019,206.2,34.371,7.93,37.63,2.83,-0.08,0.41,74.71,9.53
4/8/26 18:30,5.088,206.57,33.33,7.95,49.09,2.67,-0.21,0.41,75.21,9.57
4/8/26 18:31,5.284,207.38,32.365,7.96,64.62,2.15,-0.13,0.4,76.12,9.64
4/8/26 18:33,5.522,208.31,31.388,7.96,61.67,3.91,-0.14,0.38,75.93,9.56
4/8/26 18:35,5.85,209.71,30.4,7.95,68.73,2.06,-0.16,0.38,75.8,9.46
4/8/26 18:36,5.978,210.23,29.361,7.95,76.69,2.28,-0.22,0.38,75.69,9.42
4/8/26 18:38,6.259,210.39,28.352,7.93,70.06,2.18,-0.08,0.38,74.46,9.2
4/8/26 18:40,6.525,210.7,27.336,7.92,76.63,2.18,0.01,0.38,74.43,9.13
4/8/26 18:41,6.871,210.79,26.341,7.92,75.45,2.12,-0.08,0.36,74.46,9.06
4/8/26 18:43,7,210.84,25.331,7.93,82.53,2.31,0.02,0.35,74.67,9.06
4/8/26 18:44,7.154,209.7,24.377,7.92,86.15,2.16,-0.1,0.37,74.77,9.03
4/8/26 18:46,7.405,212.9,23.346,7.95,82.92,2.27,-0.06,0.36,75.33,9.04
4/8/26 18:48,7.445,213.56,22.342,7.96,82.72,2.31,0.02,0.38,75.47,9.05
4/8/26 18:49,7.529,215.59,21.39,7.98,90.08,2.31,-0.01,0.37,76,9.1
4/8/26 18:51,7.646,215.72,20.307,7.99,91.98,2.82,-0.03,0.37,76.24,9.1
4/8/26 18:53,7.715,217.1,19.387,8,95.17,3.94,0.05,0.37,76.78,9.15
4/8/26 18:54,7.828,218.05,18.341,8.02,94.06,2.77,0.03,0.36,77.18,9.17
4/8/26 18:56,7.938,220.62,17.389,8.08,90.61,2.39,-0.05,0.35,78.22,9.27
4/8/26 18:57,7.963,220.84,16.374,8.09,95.21,2.45,0.03,0.35,78.41,9.29
4/8/26 18:59,8.063,221.47,15.333,8.1,95.27,2.45,-0.01,0.34,78.72,9.3
4/8/26 19:01,8.107,221.37,14.337,8.1,97.08,2.31,0.08,0.32,78.84,9.3
